成交金额指数,成交金额,拟合值,误差值
226940,995.0499877929688,994.0419155243108,-0.10130870619815917
227303,997.0499877929688,996.0600832614886,-0.09928334021360422
227858,1000.099975585938,999.1473877854397,-0.09524925744949993
228393,1003.049987792969,1002.125353609393,-0.0921822635789577
228946,1006.099975585938,1005.2054855421786,-0.08890667582398014
229481,1009.049987792969,1008.1872653678955,-0.08549848228633698
230016,1012.0,1011.1709157928497,-0.0819253169120894
230414,1014.200012207031,1013.39174015523,-0.07969552771372479
230920,1017.0,1016.2166904049457,-0.07702159243405446
233006,1028.549987792969,1027.8801900003884,-0.06512058728596852
233106,1029.099975585938,1028.4400301692704,-0.06412840660032512
233268,1030.0,1029.3471083485388,-0.06338753897681863
233917,1033.599975585938,1032.9827189154232,-0.05971910653004976
234349,1036.0,1035.4042298414674,-0.05750677205912735
236165,1046.099975585938,1045.5966622986753,-0.04811330647252765
236623,1048.649993896484,1048.170557999281,-0.045719343917735675
238129,1057.049987792969,1056.6435074439005,-0.038454222010558335
239113,1062.550003051758,1062.1874148264496,-0.034124344667734
239828,1066.549987792969,1066.2196152514716,-0.030975814099534142
241872,1078.0,1077.7644522621094,-0.02185043950747274
242068,1079.099975585938,1078.8728745566368,-0.021045411402018203
243652,1088.0,1087.8395846776589,-0.014744055362235579
244283,1091.549987792969,1091.415926248923,-0.012281759474627878
245250,1097.0,1096.901449532193,-0.00898363425769778
245791,1100.049987792969,1099.972933304525,-0.007004635180132669
247023,1107.0,1106.974297445708,-0.002321820622575513
248332,1114.400024414062,1114.4235452632774,0.002110628921402664
248791,1117.0,1117.038124348528,0.0034131019273117283
249524,1121.149978637695,1121.2161667878374,0.005903594648663973
250379,1126.0,1126.0937724244923,0.00832792402240426
250740,1128.049987792969,1128.1545524698486,0.009269507380977982
251260,1131.0,1131.1243920072052,0.01099840912512713
251453,1132.099975585938,1132.2270803365925,0.011227343290840332
253545,1144.0,1144.1941198587485,0.016968519121375522
253914,1146.099990844727,1146.307704285031,0.018123500738431317
254949,1152.0,1152.2404579527042,0.020873086172241213
255999,1158.0,1158.2658175770055,0.022954885751767188
256717,1162.099990844727,1162.3898465133057,0.024942403481816023
257748,1168.0,1168.3171033390809,0.027149258482950245
258821,1174.149963378906,1174.4925960320272,0.02918133661012005
259492,1178.0,1178.3579405469,0.030385445407466377
259858,1180.099975585938,1180.4674442715068,0.031138775796210313
261406,1189.0,1189.398438560762,0.03351039199008309
262622,1196.0,1196.4239884322512,0.03545053781364843
263143,1199.0,1199.4367942511929,0.03642987916537535
263585,1201.549987792969,1201.9940224180164,0.036955152058466674
264876,1209.0,1209.4698129476094,0.038859631729478754
265948,1215.200012207031,1215.6848957888035,0.03990154516965692
266432,1218.0,1218.4931699206834,0.04049014127121391
268158,1228.0,1228.5189635437748,0.04226087490022936
268167,1228.049987792969,1228.5712873314747,0.042449374511419016
268882,1232.199951171875,1232.7296300965836,0.04298644259844825
269553,1236.099975585938,1236.6347815630074,0.04326559239805601
269717,1237.049987792969,1237.5896428078604,0.04362434988211155
269880,1238.0,1238.5388364995479,0.04352475763714617
272303,1252.099975585938,1252.6667792208211,0.04526824102986889
272320,1252.200004577637,1252.766022087421,0.04520184536934865
273143,1257.0,1257.5725363159138,0.04554783738375451
273152,1257.049987792969,1257.62511999897,0.045752532642772376
273494,1259.049987792969,1259.6236452115568,0.04556271984032843
273854,1261.149993896484,1261.7280823571193,0.045838200327727965
274008,1262.049987792969,1262.6285411481826,0.04584234862403716
274410,1264.400024414062,1264.9797308512318,0.0458483411876241
274616,1265.599975585938,1266.1849285467038,0.046219419409753625
275026,1268.0,1268.5843466360334,0.046084119560992724
276410,1276.099990844727,1276.6909472713985,0.046309570637979004
277936,1285.050003051758,1285.6419584166129,0.0460647728453388
278269,1287.0,1287.596986620204,0.046385906775758094
278439,1288.0,1288.5952917970308,0.04621830722288572
278797,1290.099990844727,1290.698141215159,0.046364651939912044
279970,1297.0,1297.5932900656394,0.04574325872316068
280998,1303.050048828125,1303.6424915136588,0.04546584270240424
281160,1304.0,1304.5963140115734,0.04572960211452764
282822,1313.800018310547,1314.3903544908985,0.04493348851604863
283033,1315.050003051758,1315.6348713877767,0.044474988377732796
283533,1318.0,1318.5849598557677,0.04438238662880825
283728,1319.149963378906,1319.7358738737157,0.044415760988153974
283888,1320.099975585938,1320.6803725229597,0.04396613497126578
285410,1329.099975585938,1329.6720680093326,0.04304359595992545
285740,1331.049987792969,1331.623351696677,0.04307606092681131
285824,1331.550048828125,1332.1201389187854,0.042814018982023354
285908,1332.049987792969,1332.6169654171233,0.042564290330706
286077,1333.049987792969,1333.6166519812023,0.04250884763679966
286440,1335.199996948242,1335.7644447774733,0.04227440312473225
288025,1344.599975585938,1345.1511191898055,0.040989410521697044
288092,1345.0,1345.5482127829068,0.04075931471426249
288277,1346.099975585938,1346.6447942329455,0.04047386203765497
288690,1348.549987792969,1349.093521187765,0.0403050238935177
289455,1353.099975585938,1353.6317878726986,0.039303251522887384
290279,1358.0,1358.5236751361585,0.038562233885018025
290875,1361.549987792969,1362.0643113706708,0.03777485823605486
291127,1363.049987792969,1363.5619462624536,0.03755977213378514
291216,1363.579956054688,1364.0909562216643,0.03747489574831203
291966,1368.049987792969,1368.5506319144383,0.03659545527843047
292125,1369.0,1369.4964794091604,0.03626584435065223
292812,1373.099975585938,1373.5848457430986,0.03531207965783981
293063,1374.599975585938,1375.0792014921499,0.034862935743007535
295146,1387.049987792969,1387.493833855041,0.03199928380218164
295672,1390.199981689453,1390.6325175260376,0.031113209774258865
296973,1398.0,1398.4021370972641,0.028765171478120938
297473,1401.0,1401.3905941061796,0.02787966496642439
297665,1402.150024414062,1402.5385208306416,0.027707193225765918
298572,1407.599975585938,1407.9639704157796,0.02585925235542429
299346,1412.25,1412.5973547888518,0.024595842722734428
300310,1418.049987792969,1418.3726406649735,0.02275327913557226
300485,1419.099975585938,1419.4215941536422,0.0226635595262743
300695,1420.369934082031,1420.6805552746027,0.021869034616849106
300767,1420.800018310547,1421.1122535464694,0.02197601575861595
301961,1428.0,1428.2752994403768,0.01927867229529302
301986,1428.149963378906,1428.4253610199216,0.01928352400500319
302956,1434.0,1434.250328663712,0.017456671109625205
302972,1434.099975585938,1434.3464527148378,0.0171868860676303
303717,1438.599975585938,1438.8237400760486,0.01555432322452851
304280,1442.0,1442.2092080191271,0.014508184405486683
304313,1442.199951171875,1442.4076980637642,0.014404860554903913
305272,1448.0,1448.1784663231356,0.012325022315993146
305602,1450.0,1450.1653652528112,0.011404500193873839
305776,1451.049987792969,1451.213235322761,0.01125030365358301
306609,1456.099975585938,1456.2319838171893,0.009065876894766607
307277,1460.149978637695,1460.2592738358946,0.007485203561180231
307508,1461.549987792969,1461.6524928733609,0.007013450189731931
307590,1462.050048828125,1462.1471231983776,0.006639606512129528
307846,1463.599990844727,1463.6915631568636,0.006256648859619467
308406,1467.0,1467.071229912762,0.004855481442533363
309722,1475.0,1475.0199425591184,0.0013520379063296695
310223,1478.049987792969,1478.0484008910882,-0.00010736456099820641
310478,1479.599975585938,1479.590337232858,-0.000651416142131178
313529,1498.200012207031,1498.0655196226758,-0.008976944550756838
314272,1502.739990234375,1502.5720658448515,-0.011174547201428194
314719,1505.469985961914,1505.2846535557476,-0.012310601200598716
316202,1514.549987792969,1514.2915521340403,-0.01706352784732081
316447,1516.049987792969,1515.7806382654994,-0.01776653340182211
316766,1518.0,1517.7199539968321,-0.018448353304865217
317190,1520.599975585938,1520.2984157523538,-0.019831634777448794
320349,1540.0,1539.5383042062706,-0.029980246346065234
320796,1542.750015258789,1542.2648934681788,-0.03144526240882181
322322,1552.149993896484,1551.5808106711736,-0.03667063283500459
322485,1553.150024414062,1552.5765947739692,-0.03692042823159888
323109,1557.0,1556.3899271897658,-0.039182582545550064
323927,1562.049987792969,1561.3918159088403,-0.042135135832537675
324105,1563.149963378906,1562.4806969682702,-0.042815240144275166
324729,1567.0,1566.2991681263456,-0.04472443354526812
326354,1577.049987792969,1576.2523620299387,-0.05057707550199689
326378,1577.199981689453,1576.3994631385676,-0.05075567842879244
328782,1592.099975585938,1591.148808316323,-0.05974293600907909
330554,1603.099975585938,1602.0392220970557,-0.0661688918368642
330714,1604.099975585938,1603.0233296807953,-0.06711837924873534
331430,1608.549987792969,1607.428779562854,-0.06970303929772703
332795,1617.049987792969,1615.8345290614404,-0.07516519221446342
333621,1622.199966430664,1620.9255936765724,-0.07855830233406491
334070,1625.0,1623.694435980363,-0.08034240120842485
334391,1627.0,1625.674556241653,-0.08146550450811874
335832,1636.0,1634.569802899829,-0.08742036064614742
335992,1637.0,1636.9268513647053,-0.004468456645982199
336833,1642.259994506836,1642.1976896047588,-0.0037938512955033267
339027,1656.0,1655.9659518847925,-0.0020560456043174622
339282,1657.599975585938,1657.567839487228,-0.0019387125472560556
339354,1658.049987792969,1658.0201995067846,-0.0017965855314190954
339992,1662.049987792969,1662.0298105638783,-0.0012139965247056563
340470,1665.050003051758,1665.0352869476517,-0.0008838235536100015
340621,1666.0,1665.9849665786005,-0.0009023662304618137
340780,1667.0,1666.9850904961443,-0.0008943913530733905
341282,1670.149993896484,1670.1435900067227,-0.00038343201417009767
342236,1676.149993896484,1676.1496584970432,-2.0010108995139598e-05
342530,1678.0,1678.001551157199,9.24408342637893e-05
342872,1680.149978637695,1680.1563656050007,0.00038014268885654817
343579,1684.599975585938,1684.6128573158846,0.000764675895368219
344531,1690.599975585938,1690.617821293853,0.0010555842998206896
344626,1691.199951171875,1691.2173167734284,0.0010268213135491242
